Run Date,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.58,,,,60.58,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.58,,,,60.58,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.58,,,,60.58,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.58,,,,60.58,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.57,,,,60.57,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.57,,,,60.57,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.57,,,,60.57,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.57,,,,60.57,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.57,,,,60.57,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.57,,,,60.57,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.57,,,,60.57,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.57,,,,60.57,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.57,,,,60.57,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.56,,,,60.56,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.55,,,,60.55,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.55,,,,60.55,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.55,,,,60.55,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.55,,,,60.55,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.55,,,,60.55,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.55,,,,60.55,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.54,,,,60.54,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.54,,,,60.54,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.53,,,,60.53,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.53,,,,60.53,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.53,,,,60.53,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.51,,,,60.51,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.51,,,,60.51,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.51,,,,60.51,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.5,,,,60.5,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.48,,,,60.48,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.48,,,,60.48,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.48,,,,60.48,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.46,,,,60.46,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.46,,,,60.46,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.46,,,,60.46,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.46,,,,60.46,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.45,,,,60.45,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.45,,,,60.45,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.45,,,,60.45,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.45,,,,60.45,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.45,,,,60.45,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.39,,,,60.39,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.39,,,,60.39,3/19/2024
 03/15/2024, SPLG, SPDR PORTFOLIO S&P 500 ETF,Cash,-1,60.39,,,,60.39,3/19/2024
